BAC-02
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2021/04/20, 09:25:38,     96.91,    0,         0.0000,         0.0000,        45,        15,         6,         6,         0,         0,         0,         1,         1,         0,         1,         1,     21.80,80.94,102996.52,-138.25
 2021/04/20, 09:25:48,     96.91,    0,         0.0000,         0.0000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:26:00,     96.91,    0,         0.0000,         0.0000,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:26:10,     96.91,    0,         0.0000,         0.0000,        36,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:26:20,     96.91,    0,         0.0000,         0.0000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:26:30,     96.91,    0,         0.0000,         0.0000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:26:40,     96.91,    0,         0.0000,         0.0000,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:26:50,     96.91,    0,         0.0000,         0.0000,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:27:00,     96.72,    0,         0.0000,         0.0000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:27:10,     96.72,    0,         0.0000,         0.0000,        42,        14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:27:20,     96.72,    0,         0.0000,         0.0000,        42,        14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:27:30,     96.72,    0,         0.0000,         0.0000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:27:40,     96.72,    0,         0.0000,         0.0000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:27:50,     96.72,    0,         0.0000,         0.0000,        75,        22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:28:00,     96.72,    0,         0.0000,         0.0000,        84,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:28:10,     96.72,    0,         0.0000,         0.0000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:28:20,     96.72,    0,         0.0000,         0.0000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:28:30,     96.72,    0,         0.0000,         0.0000,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:28:40,     96.72,    0,         0.0000,         0.0000,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:28:50,     96.72,    0,         0.0000,         0.0000,        69,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:29:00,     96.53,    0,         0.0000,         0.0000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:29:10,     96.53,    0,         0.0000,         0.0000,        30,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:29:20,     96.53,    0,         0.0000,         0.0000,        81,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:29:30,     96.53,    0,         0.0000,         0.0000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:29:40,     96.53,    0,         0.0000,         0.0000,       114,        38,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:29:50,     96.53,    0,         0.0000,         0.0000,        93,        31,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:30:00,     96.53,    0,         0.0000,         0.0000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:30:10,     96.53,    0,         0.0000,         0.0000,        93,        24,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:30:20,     96.53,    0,         0.0000,         0.0000,        81,        24,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:30:30,     96.53,    0,         0.0000,         0.0000,        48,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:30:40,     96.53,    0,         0.0000,         0.0000,        39,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:30:50,     96.53,    0,         0.0000,         0.0000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:31:00,     96.34,    0,         0.0000,         0.0000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:31:10,     96.34,    0,         0.0000,         0.0000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:31:20,     96.34,    0,         0.0000,         0.0000,        87,        29,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:31:30,     96.34,    0,         0.0000,         0.0000,       108,        36,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:31:40,     96.34,    0,         0.0000,         0.0000,       120,        36,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:31:50,     96.34,    0,         0.0000,         0.0000,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:32:00,     96.34,    0,         0.0000,         0.0000,       102,        34,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:32:10,     96.34,    0,         0.0000,         0.0000,        60,        20,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:32:20,     96.34,    0,         0.0000,         0.0000,        90,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:32:30,     96.34,    0,         0.0000,         0.0000,       453,       144,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:32:40,     96.34,    0,         0.0000,         0.0000,       930,       306,         0,         0,         0,         0,         3,         3,         3,         3,         3,         3,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:32:50,     96.34,    0,         0.0000,         0.0000,       459,       146,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:33:00,     96.34,    0,         0.0000,         0.0000,       120,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:33:10,     96.15,    0,         0.0000,         0.0000,       147,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:33:20,     96.15,    0,         0.0000,         0.0000,       156,        49,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:33:30,     96.15,    0,         0.0000,         0.0000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:33:40,     96.15,    0,         0.0000,         0.0000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:33:50,     96.15,    0,         0.0000,         0.0000,        72,        20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
 2021/04/20, 09:34:00,     96.15,    0,         0.0000,         0.0000,        93,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     21.80,39.98,102996.52,-138.25
