S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
79.0,82.0,65.0,81.0,57.0,47.0,85.33333333333333,64.0,46.0,0.0,87.33333333333333,85.0,93.0,90.0,78.0,57.0,69.31111111111112,44.076346562992,68.5,32.519218455588565,69.85185185185185,40.93379614104552,56.79581922470104,20.64056184886394
90.0,80.0,75.0,57.0,51.0,59.0,113.33333333333333,68.33333333333333,38.0,0.0,48.0,88.0,83.0,79.0,72.0,44.0,66.77777777777777,34.82913885877434,68.66666666666667,27.60920190957592,65.51851851851852,38.20732394970289,48.535638878850705,14.10872148464672
120.0,118.0,86.0,544.0,100.0,2214.0,75.0,124.33333333333333,41.0,0.0,60.0,87.33333333333333,76.0,48.0,40.0,92.0,248.91111111111113,586.5930009903514,530.3333333333334,840.462395127025,61.2962962962963,41.99095159270192,309.1680373671541,219.1479249234551
265.0,121.0,87.0,211.0,173.0,1606.0,126.0,128.0,41.333333333333336,0.0,99.0,156.33333333333334,88.0,36.0,37.0,76.0,211.64444444444447,406.49479093893257,410.5,566.0269801457275,79.07407407407408,58.45813084215786,231.3797451277923,143.2152743643143
514.0,245.0,267.0,569.0,330.0,3330.0,177.0,206.33333333333334,77.0,0.0,302.0,264.0,50.0,52.0,62.0,112.0,429.68888888888887,887.3061893193145,875.8333333333334,1230.6690245615248,132.25925925925924,125.92282946366991,476.33169273606785,329.3145144371337
929.0,528.0,688.0,1022.0,354.0,1710.0,187.0,669.3333333333334,94.33333333333333,0.0,404.3333333333333,394.6666666666667,51.0,33.0,22.0,91.0,472.4444444444445,622.7481619439278,871.8333333333334,708.3494910536997,206.1851851851852,255.8958938771248,395.39753546279076,233.22630502739912
1934.0,1406.0,951.0,1429.0,647.0,3077.0,326.3333333333333,781.0,138.33333333333334,0.0,734.3333333333334,651.0,75.0,32.0,33.0,101.0,814.3333333333334,1187.242768270537,1574.0,1515.74112669852,307.88888888888886,316.3455133593165,700.8587005346234,459.8054016079388
1546.0,1530.0,938.0,1218.0,726.0,6982.0,1022.0,1188.6666666666667,186.0,0.0,1035.0,651.0,76.0,57.0,61.0,90.0,1147.7777777777776,1948.0467858450409,2156.6666666666665,2528.107739346649,475.1851851851852,533.7810202857967,1061.9415212076062,791.4607400152901
1284.0,1058.0,1079.0,1249.0,721.0,1658.0,1513.0,1666.3333333333333,227.33333333333334,0.0,902.0,738.0,63.0,55.0,76.0,60.0,819.3111111111111,734.0163917555761,1174.8333333333333,556.4929611165436,582.2962962962963,688.7344570598457,537.7758342888957,341.11685545525717
1375.0,1550.0,981.0,1474.0,884.0,1138.0,1483.0,1741.0,1013.0,0.0,909.0,704.0,43.0,50.0,37.0,53.0,892.1333333333332,691.6092671998503,1233.6666666666667,418.94285484163225,664.4444444444445,711.9910873715627,545.5808668443946,359.2957479096276
