S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
13.0,10.0,13.0,10.0,22.0,48.0,42.0,16.0,3.0,16.0,15.0,50.0,17.0,33.0,6.0,13.0,20.933333333333334,24.77917251771416,19.333333333333332,20.377637529240868,22.0,25.278513433979967,19.5708352836825,4.984012103174471
26.0,0.0,6.0,16.0,9.0,41.0,15.0,13.666666666666666,3.0,7.0,15.0,50.0,55.0,16.0,3.0,23.0,18.377777777777776,21.674656510353298,16.333333333333332,16.771491174826497,19.740740740740744,23.00761947911779,21.017478096043693,5.464936956213994
6.0,9.0,18.0,9.0,40.0,87.0,15.0,9.0,9.333333333333334,9.0,15.0,28.0,41.0,23.0,14.0,37.0,22.155555555555555,32.921790451223444,28.166666666666668,38.97412297665626,18.14814814814815,17.441878445021178,30.692448668926332,10.777026745166319
9.0,9.0,50.0,9.0,13.0,185.0,11.666666666666666,9.0,45.0,11.0,39.0,12.0,3.0,22.0,10.0,30.0,29.177777777777777,53.83103643262742,45.833333333333336,70.84307925257937,18.074074074074073,21.535778467509463,37.66960473680173,22.588469346649884
55.0,10.0,75.0,55.0,44.0,529.0,18.0,21.333333333333332,45.0,249.0,75.0,12.0,3.0,19.0,23.0,15.0,82.22222222222223,149.09478583960757,128.0,207.6192902411486,51.7037037037037,75.98160092608573,82.10566935394326,57.02485770907779
121.0,49.0,50.0,69.0,83.0,718.0,42.0,61.0,64.0,487.0,138.0,112.66666666666667,10.0,24.0,27.0,40.0,137.04444444444445,207.33128697341672,181.66666666666666,262.89370968701195,107.29629629629629,144.3223558484232,128.12524380595372,77.64718622013177
195.0,99.0,51.0,243.0,61.0,696.0,119.0,61.0,231.0,310.3333333333333,321.0,164.0,31.0,17.0,93.0,31.0,179.48888888888885,202.1257801011009,224.16666666666666,262.19973886375334,149.7037037037037,121.21017548709206,137.53822299666328,81.53919663263905
248.0,170.0,136.0,584.0,105.0,1145.0,171.0,106.0,231.0,134.0,321.0,164.0,49.0,3.0,191.0,23.0,250.5333333333333,297.5349765711143,398.0,393.8228850351472,152.2222222222222,128.723998845903,190.35610330148253,129.8170742797043
276.0,292.0,241.0,667.0,482.0,1311.0,171.0,258.0,577.6666666666666,204.66666666666666,490.6666666666667,351.3333333333333,101.0,10.0,91.0,35.0,368.28888888888883,341.017222867352,544.8333333333334,407.6618408732864,250.5925925925926,206.48788244941287,248.1020372520803,154.75929565768106
358.0,349.0,298.0,446.0,309.0,1114.0,181.0,258.0,661.0,276.0,561.0,472.0,80.0,38.0,65.0,108.0,364.3999999999999,285.67786073280837,479.0,308.73555024838925,288.0,227.23798708596019,252.69262024426948,109.28325740613302
531.0,468.0,280.0,424.0,545.0,940.0,255.0,364.0,661.0,331.3333333333333,622.0,472.0,45.0,30.0,165.0,103.0,408.8888888888889,280.650580468451,531.3333333333334,255.3569574230754,327.2592592592593,228.75402234675911,264.1798231191133,132.33720612967977
531.0,618.0,324.0,417.0,656.0,839.0,427.0,499.0,707.3333333333334,387.0,646.0,499.6666666666667,96.0,23.0,205.0,94.0,458.3333333333333,267.55145413819287,564.1666666666666,244.34061895189498,387.7777777777778,245.1732484933331,273.2949291571754,152.599952480295
522.0,590.0,477.0,549.0,581.0,775.0,475.0,499.0,795.0,479.3333333333333,633.0,586.0,110.0,19.0,268.0,109.0,490.5555555555555,234.6427266177958,582.3333333333334,153.21832046594804,429.3703703703704,254.79366546773144,278.0660940577838,159.38678315423485
525.0,547.0,531.0,577.0,573.0,780.0,487.0,490.0,795.0,572.0,633.0,586.0,113.0,34.0,295.0,149.0,502.5333333333333,228.42954359553323,588.8333333333334,127.11457917153547,445.0,256.3544189777599,293.32095897628886,153.87173538674992
