S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
7.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,11.0,0.0,9.0,18.0,0.0,35.0,3.0,25.0,6.133333333333333,12.109152885006965,2.6666666666666665,5.140993524872745,8.444444444444445,14.155527790030606,14.414162072780101,10.57800513532957
3.0,0.0,0.0,3.0,10.0,46.0,6.0,4.666666666666667,11.0,4.0,9.0,18.0,0.0,59.0,3.0,16.0,11.777777777777777,21.10878108485335,10.333333333333334,17.72583963415248,12.74074074074074,20.418606419727507,16.29551962087704,11.293428984844653
3.0,7.0,0.0,0.0,10.0,174.0,6.0,7.0,76.33333333333333,8.0,7.333333333333333,21.0,0.0,68.0,0.0,6.0,25.844444444444445,54.265798781625584,32.333333333333336,66.01214259137952,21.518518518518515,34.80928084287945,28.70341440869001,20.563172506081543
6.0,7.0,9.0,7.0,0.0,490.0,9.0,7.0,71.0,12.0,43.0,24.0,0.0,62.0,3.0,54.0,50.0,131.06666574507173,86.5,185.92729545917007,25.66666666666667,35.08882609237817,78.35555524835723,66.69998057817381
15.0,36.0,32.0,53.0,22.0,742.0,18.0,119.66666666666667,146.33333333333334,16.0,142.0,158.0,0.0,67.0,0.0,44.0,104.46666666666668,185.0750882451235,150.0,267.72555301724043,74.11111111111111,69.60227829725959,111.18058497059674,80.37534426040456
57.0,40.0,55.0,74.0,145.0,805.0,42.0,118.0,469.3333333333333,24.333333333333332,169.0,255.0,11.0,58.0,11.0,17.0,155.57777777777778,217.50681861029557,196.0,276.13544465833235,128.62962962962965,155.87442431574192,130.02819879602444,90.49823350678713
83.0,204.0,94.0,43.0,263.0,1134.0,54.0,87.33333333333333,471.0,33.0,169.0,252.0,14.0,56.0,45.0,50.0,200.15555555555557,292.6237443979108,303.5,381.8590244461866,131.25925925925927,160.80863667150967,180.9264333178221,102.80987796338958
225.0,219.0,136.0,138.0,507.0,558.0,45.0,165.0,510.0,78.33333333333333,198.33333333333334,216.0,6.0,77.0,31.0,43.0,207.3111111111111,188.43633956130986,297.1666666666667,173.24135580631423,147.40740740740742,166.08614706404333,146.24915022414032,87.17563583667548
231.0,147.0,196.0,190.0,473.0,450.0,49.333333333333336,162.0,528.3333333333334,124.0,261.3333333333333,214.33333333333334,6.0,88.0,0.0,36.0,208.0222222222222,173.92464890469822,281.1666666666667,131.2895096291229,159.25925925925927,175.96553644474133,139.31562370897348,88.68616968122103
217.0,213.0,244.0,314.0,514.0,434.0,151.33333333333334,200.33333333333334,527.0,217.0,311.0,299.0,0.0,81.0,25.0,39.0,249.84444444444446,185.64120599438124,322.6666666666667,115.95475382270467,201.29629629629633,192.03798927457663,158.16188347960858,95.25348704248204
254.0,262.0,213.0,236.0,402.0,358.0,203.0,296.0,464.3333333333333,310.0,331.0,344.0,0.0,96.0,41.0,94.0,254.02222222222224,157.13223725333089,287.5,70.05036795958442,231.7037037037037,184.5712230907068,168.38481982518434,79.76715669273442
323.0,394.0,221.0,272.0,444.0,286.0,191.0,299.0,381.3333333333333,254.33333333333334,233.0,306.3333333333333,0.0,60.0,26.0,125.0,246.0666666666667,149.4842625382923,323.3333333333333,77.1408741239502,194.55555555555557,151.54085583627338,173.51697640165298,63.46716632398516
299.0,469.0,244.0,335.0,282.0,231.0,178.0,304.0,383.0,199.0,233.0,262.0,17.0,61.0,10.0,102.0,233.79999999999998,142.96273439842395,310.0,91.79918048217479,183.0,141.86969266480187,159.58757813280798,71.97901840684357
310.0,358.0,362.0,292.0,196.0,290.0,153.0,139.33333333333334,344.3333333333333,232.33333333333334,240.0,270.0,14.0,72.0,24.0,124.0,219.79999999999998,126.9616950864445,301.3333333333333,60.33385148493719,165.44444444444446,122.82891525481658,156.92056502881482,80.7043142409306
0.0,0.0,20.0,0.0,0.0,6.0,178.33333333333334,138.0,258.3333333333333,266.0,192.0,189.33333333333334,3.0,65.0,65.0,71.0,92.06666666666666,106.86001982754794,4.333333333333333,7.340905181848413,150.55555555555557,94.54014318409939,89.97556216473821,27.627672945158295
0.0,0.0,26.0,3.0,69.0,322.0,226.33333333333334,179.33333333333334,286.0,208.33333333333334,279.0,200.0,3.0,59.0,19.0,53.0,125.33333333333333,188.52588785126693,70.0,115.27503343453573,162.22222222222223,111.36197154370164,122.28640706153341,63.348060312558005
14.0,0.0,83.0,248.0,58.0,582.0,285.0,293.3333333333333,268.3333333333333,151.0,241.0,209.0,20.0,42.0,13.0,108.0,167.17777777777778,262.65260597642714,164.16666666666666,203.70437457801984,169.1851851851852,120.06480832993829,179.27679458473494,65.54692234650388
108.0,7.0,102.0,70.0,114.0,710.0,221.0,371.0,281.0,122.0,202.0,195.0,17.0,50.0,28.0,31.0,173.20000000000002,260.614816264466,185.16666666666666,237.484326968235,165.2222222222222,136.67311154602464,154.93827208815534,98.9639800111936
154.0,51.0,294.0,56.0,177.0,838.0,208.0,327.0,315.0,93.0,359.0,263.0,3.0,43.0,10.0,97.0,212.73333333333335,290.2128588652111,261.6666666666667,270.3840889467344,180.11111111111111,169.48929744934657,199.9820640661815,82.19972973580994
111.0,36.0,296.0,92.0,304.0,658.0,214.0,235.0,332.0,135.33333333333334,344.3333333333333,249.33333333333334,6.0,63.0,6.0,89.0,205.46666666666667,249.1830104327786,249.5,208.79635213927148,176.11111111111111,156.92606157634836,181.21655903314843,68.60343110560184
