S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
29484,0,45,78,36,108,177,210,51,0,27,27,30,39,93,60,2027.0,7338.423754458447,4958.5,10968.188786212608,72.66666666666667,69.1487928712827,3141.8079181528155,3074.189389974579
16232,39,75,828,54,57,18,109,51,0,27,27,63,48,18,102,1176.4,4028.5715053022623,2880.8333333333335,5977.478772210088,40.111111111111114,30.515731623921617,1768.990501767421,1656.8772985451963
8670,153,60,1731,45,78,18,9,99,0,55,36,63,51,9,57,738.4666666666667,2160.888115772977,1789.5,3135.456306504685,37.77777777777778,30.42943669021743,985.4515941465479,876.4844424268174
4611,219,276,723,57,48,147,9,129,0,102,27,84,51,30,102,434.2,1129.7733223970197,989.0,1635.288659533845,64.33333333333333,50.30131431903367,555.3244407990065,428.23891165010997
6444,252,393,735,204,168,762,343,129,0,45,27,48,51,75,72,645.0666666666667,1567.1568084343767,1366.0,2278.794198693686,164.44444444444446,232.10156355024657,761.4078250336811,615.9139113542584
4491,810,114,1848,258,180,1203,897,106,0,45,31,84,51,66,81,678.9333333333333,1146.5321897889403,1283.5,1552.847465142665,275.8888888888889,420.9804546649126,635.4885077074246,436.0850846064735
21984,1794,93,1194,489,51,1350,897,162,0,54,45,78,78,33,90,1886.8,5400.382927163591,4267.5,7946.921432227703,299.6666666666667,455.01526225928825,2459.0609757211973,2205.395456077008
16851,3183,243,687,453,48,2268,2112,162,0,54,45,114,45,72,102,1755.8,4149.212571079,3577.5,6028.20016671643,541.3333333333334,883.0743016429717,2002.3375236929999,1661.4387262884497
3549,3570,753,2109,1323,141,2268,4854,198,0,96,183,120,18,27,60,1280.6,1556.2531413622914,1907.5,1309.8386350997591,862.6666666666666,1567.1899126213843,965.6177137874305,650.1813830154906
2820,5253,942,2778,1818,150,3067,4854,159,0,198,243,102,18,27,60,1495.2666666666667,1770.9534331038246,2293.5,1628.7944161250061,963.1111111111111,1658.464781687801,1108.7400332568304,750.0633490196223
2937,3579,702,1848,2781,255,5178,4846,159,0,234,243,132,18,87,48,1533.2666666666667,1795.1472907690766,2017.0,1206.39752983832,1210.7777777777778,2034.861653925712,1125.4713191452477,769.3519775349977
2052,2694,552,1251,3432,426,3324,2919,456,0,276,333,96,0,156,30,1197.8,1258.97742632662,1734.5,1099.0301406239957,840.0,1231.4260026489615,828.9258087755401,565.4776773187575
1848,1674,783,1248,3339,846,1614,2919,1125,0,336,354,51,27,135,39,1086.6,1006.4149442451658,1623.0,860.991289154542,729.0,934.9973261993855,710.6716480817219,476.0703819949412
1344,1374,642,876,3348,1137,2193,2395,1125,0,336,354,51,39,156,69,1024.6666666666667,955.8265998019143,1453.5,885.0283893751657,738.7777777777778,892.2777068675646,683.1644221561937,435.1882288415166
1050,870,774,993,2427,1362,2193,1791,936,0,319,382,93,27,264,51,898.7333333333333,743.5885481157499,1246.0,558.9874774983783,667.2222222222222,761.0749383131697,564.4406271496945,368.54075695093854
873,1218,867,783,2634,1578,1777,1791,132,0,342,555,153,69,438,48,880.6666666666666,749.7866955934128,1325.5,645.0800337942572,584.1111111111111,663.0874660663712,559.4844540866931,365.5996460486122
1005,1110,900,687,1458,870,1689,1749,132,0,417,555,105,126,486,63,752.6,552.860054625038,1005.0,240.34974516316842,584.3333333333334,632.5563655165881,456.15335154167934,289.71385862138715
843,942,597,771,1290,594,1395,1539,325,0,378,493,240,174,390,90,664.7333333333333,446.0061982628592,839.5,237.0785734730155,548.2222222222222,510.0274018298271,400.2465105320642,236.85447413552765
1005,702,525,579,1302,594,798,1539,462,0,321,366,183,144,219,51,582.6,418.5965121689382,784.5,279.6108903458519,448.0,441.1621017267916,350.7321707229794,222.2668315785035
963,738,1110,555,1239,549,801,1423,462,0,321,366,81,30,258,60,593.0666666666667,429.2423506080866,859.0,265.0075470623431,415.77777777777777,426.24400361446015,360.7696724249178,222.9445349871572
909,726,384,486,963,645,801,1041,559,0,342,343,135,60,324,81,514.5333333333333,317.1132009586202,685.5,208.5431610003071,400.55555555555554,325.77671668767624,304.21551143065113,177.22405888995937
747,861,327,306,714,630,810,1041,792,0,402,246,192,42,330,132,496.0,311.2388150600757,597.5,209.98154680828503,428.3333333333333,347.28598525646777,313.0796050200252,148.6080782478025
570,522,234,378,837,513,573,975,792,0,492,246,297,30,429,174,459.2,268.04730925715336,509.0,184.51558199783562,426.0,307.07653769052433,300.41576975238445,118.66071499903552
603,381,522,633,765,465,741,663,618,0,261,306,342,81,264,132,443.0,225.8627902067979,561.5,123.62544236523483,364.0,243.3762519228201,266.95426340226595,130.24753836965058
432,156,540,495,861,486,669,663,459,0,177,402,297,129,279,87,403.0,225.44799843866434,495.0,206.13587751771888,341.6666666666667,216.7461392710119,238.48266614622148,129.33529273864067
489,204,363,438,585,570,495,642,459,0,177,402,240,120,396,27,372.0,179.87662438460424,441.5,130.34665319830808,325.6666666666667,192.95652935887455,192.95887479486808,141.14911490299338
363,270,423,342,408,690,495,675,513,0,282,391,213,54,300,30,361.26666666666665,186.17750192282156,416.0,132.15521177766695,324.77777777777777,206.87719265183915,192.48138952982939,135.3124910724122
