S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
9,9,45,30,114,81,72,39,9,60,18,45,18,150,81,204,52.0,40.16964027720437,48.0,38.34057902536163,54.666666666666664,41.12852484049915,98.7232134257348,74.59843919879837
48,51,27,60,78,60,36,49,9,73,18,72,36,192,72,150,58.733333333333334,40.93322475555632,54.0,15.394804318340652,61.888888888888886,51.08477582399334,83.2221860296299,47.774946679483115
30,42,57,30,27,9,36,78,21,87,18,72,78,132,18,120,49.0,33.00303016391071,32.5,14.637281168304447,60.0,37.013511046643494,67.33434338797024,37.80854665959681
264,282,303,165,18,21,36,78,21,43,45,63,102,156,45,129,109.46666666666667,97.19524451101276,175.5,118.47468083940973,65.44444444444444,39.27428084386103,111.88730372589315,13.096570308238247
3666,453,489,345,216,0,94,208,19,0,75,66,60,135,111,117,395.8,886.8028867792436,861.5,1264.678714140473,85.33333333333333,58.738592273072236,466.5342955930812,318.2259433727356
2034,762,360,486,1035,18,330,318,18,61,81,66,9,51,171,138,386.6666666666667,527.2183186835938,782.5,643.0795051935647,122.77777777777777,116.06490308613996,350.6283284500869,160.9281335788957
2331,1458,414,1602,1422,147,441,318,18,123,132,69,45,84,183,141,585.8,710.3617106798479,1229.0,739.1630402015512,157.0,130.79755349393963,479.0539035599493,244.38935632300922
1824,2454,738,1182,1563,171,360,475,51,112,258,90,48,81,213,189,641.3333333333334,734.516227791387,1322.0,739.0270631039164,187.55555555555554,142.46801677032335,521.6165203749068,238.2520726382435
1758,1062,618,393,1734,150,576,540,75,102,258,90,72,72,165,156,511.0,554.9104432248505,952.5,624.5664496272594,216.66666666666666,191.24213854575973,407.3034810749502,178.60032000035085
1431,1050,462,381,1764,216,576,540,75,127,207,94,27,51,84,57,472.3333333333333,518.1979887606238,884.0,574.2360141962537,197.88888888888889,198.53935766796937,349.17710736465233,207.4471630807031
645,594,495,321,1344,168,649,483,144,153,204,99,9,69,150,153,368.46666666666664,335.89340901872754,594.5,372.1347202291127,217.77777777777777,197.35741845009008,285.7866918951314,94.83137116935221
702,462,429,414,1353,180,579,516,162,223,318,206,87,45,222,198,393.2,314.69650988425866,590.0,373.2947896770058,262.0,170.65624968208917,301.96550329475286,80.19691971053307
504,429,351,438,735,117,627,516,162,294,348,313,93,66,189,123,345.46666666666664,192.64332038482127,429.0,183.83416439824236,289.77777777777777,177.67747170256922,220.3699956838293,92.91369054772251
471,396,324,486,579,237,579,505,235,301,420,0,90,51,135,114,320.6,184.55199809267847,415.5,112.09928634920028,257.3333333333333,195.9121118143428,206.38399936422616,85.7452319748865
495,204,324,258,429,249,531,468,348,309,420,0,66,99,234,123,295.6,154.1461644024917,326.5,103.77017876056685,275.0,177.0931958037914,190.91538813416392,75.1073536584904
615,300,429,567,594,240,531,468,348,270,336,0,171,66,207,102,342.8,183.63812240381898,457.5,146.26089702993073,266.3333333333333,165.30443295796866,209.47937413460633,99.98995855671521
567,255,369,591,732,108,525,355,318,231,315,0,105,36,171,60,311.8666666666667,209.3567502825951,437.0,213.55327204236417,228.44444444444446,158.89906727305518,193.74113898308724,103.41531134745775
