S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
111,78,75,9,0,30,81,48,45,0,82,99,36,99,30,96,54.86666666666667,35.84013888861978,50.5,40.22747817102136,57.77777777777778,32.26204435823681,62.23560185176215,25.10681350492655
69,66,105,51,0,84,85,48,21,0,36,108,72,42,42,27,55.266666666666666,32.27479236528443,62.5,32.56148031032987,50.44444444444444,31.16305187989674,38.180486343983695,12.272164360553104
93,102,144,69,0,5112,63,112,21,0,45,108,84,21,30,57,400.26666666666665,1259.97177040687,920.0,1875.2197204594452,53.77777777777778,38.02273523908726,572.4128123578456,505.97166699740956
165,105,57,78,0,3618,117,123,40,0,27,136,63,21,54,48,306.93333333333334,886.2413115073242,670.5,1319.0959972647934,64.55555555555556,46.50235623925382,413.7248816135525,350.44300551106693
246,126,273,684,0,1578,153,123,147,0,636,459,42,0,42,102,300.6,402.6832998772112,484.5,532.3563186438196,178.0,209.15066339842195,268.4277666257371,124.84363862175292
648,240,609,960,0,4350,183,226,147,0,636,459,18,0,18,84,566.2666666666667,1052.1284754671783,1134.5,1470.2575454660996,187.44444444444446,212.33626953025404,567.4650473779483,395.23770344764057
2871,1962,1041,852,0,621,183,561,226,0,742,390,72,69,39,93,641.9333333333333,783.9877096542323,1224.5,939.0517823847629,253.55555555555554,243.76724377118936,506.3070143291886,297.9506419171481
2028,2142,1077,837,0,3162,531,561,369,0,600,390,72,96,81,123,796.4,905.9727589723657,1541.0,1025.638337816991,300.0,225.0688783461632,608.457586324122,346.17273960354504
1422,1566,681,1101,0,1950,1809,1156,369,0,861,390,39,87,114,93,769.6666666666666,669.7056733288804,1120.0,635.9378900490204,536.1111111111111,584.4036741166055,510.7907799985157,298.2279910136933
894,1374,771,993,0,750,1224,1380,696,0,840,477,39,81,63,39,638.8,485.8869827439299,797.0,412.07766258315917,533.3333333333334,502.45751616983057,387.89566091464326,254.48213344671578
819,654,636,450,0,882,1266,1380,1500,0,531,636,96,39,42,78,595.4,491.39214482936126,573.5,291.54287849302716,610.0,587.5763780139566,388.2640482764537,223.4610230352926
603,486,651,426,0,870,780,1161,1500,0,531,636,75,27,39,48,519.0,433.7603024713073,506.0,266.38505964111425,527.6666666666666,515.8341680122487,333.58676749043576,204.9167356642252
780,834,522,450,0,1110,780,708,1348,0,505,654,51,99,51,39,526.1333333333333,406.8830899520019,616.0,349.83424646537964,466.22222222222223,430.535010262497,324.0054744284451,207.32622518993907
660,429,471,510,0,834,708,708,1101,0,573,519,72,75,60,99,448.0,327.96402241709376,484.0,255.4740691342274,424.0,366.49147329781084,291.6546741390312,144.7734473336029
564,801,681,489,0,798,669,607,1101,0,681,519,81,48,93,108,475.46666666666664,335.3805533353947,555.5,273.22197935012474,422.1111111111111,361.36268160162996,306.2824066673538,151.4220688063971
453,534,621,357,0,594,447,414,951,0,663,505,42,72,84,129,382.46666666666664,276.4397141431664,426.5,210.11009019083306,353.1111111111111,309.48288211303003,262.63546026994436,103.93669819181625
558,390,672,342,0,438,597,414,759,0,492,549,93,42,117,171,364.2,245.7213055475654,400.0,209.70455407548974,340.3333333333333,264.3675892052999,260.3071018491885,79.54503584056154
450,369,576,273,0,402,558,499,759,0,492,549,114,72,129,87,349.46666666666664,229.40469819852328,345.0,179.0809872655386,352.44444444444446,257.504740457384,221.95712162172995,107.28090098872268
432,369,414,252,0,657,558,423,783,0,511,453,81,123,168,105,348.26666666666665,229.4362559744112,354.0,198.92963580120485,344.44444444444446,247.62162493571205,227.56764088035928,99.3219900779113
519,153,288,417,0,582,534,423,624,0,357,384,36,60,57,57,295.6,218.19679191042198,326.5,203.5982563776026,275.0,225.06443521800597,190.265597303474,99.39015284600517
444,297,345,507,0,306,447,360,624,0,417,384,27,51,48,60,283.8,198.77665858948328,316.5,160.21938085013312,262.0,218.06421072702418,180.8588861964944,92.24024763498566
300,546,135,567,0,402,270,369,663,0,345,364,9,9,48,78,268.46666666666664,217.70557079586996,325.0,206.43158673032573,230.77777777777777,216.86953465558136,188.0574124875122,80.53424839195581
249,498,327,624,0,429,228,369,618,0,330,390,42,9,27,60,276.0,213.1281304755428,354.5,198.46473238336327,223.66666666666666,206.3982127398932,183.04271015851427,90.71144502115561
300,393,201,393,0,252,318,334,618,0,330,390,60,48,60,60,246.46666666666667,174.49426606306838,256.5,134.19482106251343,239.77777777777777,196.54446925584483,160.32031090991168,76.78163928942568
255,417,174,522,0,225,318,246,432,0,339,346,27,27,108,48,229.06666666666666,163.55405494480684,265.5,168.00669629511796,204.77777777777777,155.85518761392845,146.87357387049119,74.85525268185881
246,357,201,300,0,195,267,246,342,0,312,171,18,18,18,42,179.4,129.08694744241186,216.5,111.92073087681298,154.66666666666666,133.76181152414998,116.82898248080396,56.75904203296603
204,99,306,135,0,201,207,267,342,0,369,171,75,57,72,42,167.0,114.28210708593012,157.5,95.60465469839845,173.33333333333334,124.79405256483803,107.76070236197671,51.238960044613194
333,111,342,249,0,138,225,198,325,0,339,253,9,96,72,60,179.33333333333334,123.20101009686928,195.5,123.75883806823657,168.55555555555554,121.63982453777318,120.84478114340088,48.74611076637796
387,222,231,237,0,240,225,198,321,0,231,591,87,117,18,102,207.0,150.67448357303238,219.5,113.35894318491152,198.66666666666666,170.58005614829523,153.22482785767747,42.90398732035416
243,249,156,120,0,264,282,144,321,0,231,591,153,60,63,60,191.8,144.8204405462157,172.0,93.07523838271918,205.0,169.54055562018192,132.20681351540523,54.54134633562746
258,168,162,147,0,336,282,213,411,0,220,396,36,39,93,18,184.06666666666666,131.10426724134072,178.5,103.57243841872219,187.77777777777777,146.49670286602796,111.05697796933579,69.2625670898359
231,123,99,207,0,291,250,213,477,0,117,327,39,27,51,39,163.46666666666667,133.1334501752116,158.5,95.818839483684,166.77777777777777,152.94645234182656,111.86670561395943,52.991782985370726
129,336,186,240,0,159,324,187,477,0,204,327,21,39,39,123,177.86666666666667,139.515287891885,175.0,102.68398122394748,179.77777777777777,159.38128830489606,146.79398485285057,22.982926269515158
120,387,141,243,0,198,351,174,364,0,207,283,9,84,57,72,174.53333333333333,127.71628278684314,181.5,118.77815455714068,169.88888888888889,133.1402305377842,124.74987204005883,41.91157998811378
225,270,135,309,0,144,321,174,207,0,123,192,45,51,102,27,153.2,99.70035105254144,180.5,102.05023272878901,135.0,93.78699270154684,93.3001170175138,51.71932099823266
234,192,177,120,0,27,135,198,207,0,123,192,27,9,90,0,115.4,81.44593298624554,125.0,85.9534757877772,109.0,77.64019577512668,65.61531099541519,48.42345467823365
180,222,183,69,0,174,135,129,190,0,130,163,42,21,78,42,114.4,71.47195254083941,138.0,77.40155037206942,98.66666666666667,62.45709638534991,75.95731751361313,29.726855133635638
249,171,132,147,0,228,189,129,171,0,156,135,39,51,81,39,125.2,73.92807315222005,154.5,80.66132902450839,105.66666666666667,61.78637030571998,79.37602438407335,35.40122530335628
240,99,102,291,159,90,135,151,171,0,210,135,105,45,93,69,135.06666666666666,71.4203207933304,163.5,76.89115683874186,116.11111111111111,60.51160484558028,91.82899581999902,30.589612870703203
171,252,114,237,228,51,228,153,135,0,378,186,84,57,39,51,154.2,97.55490761617274,175.5,72.67908915224515,140.0,108.79338215167317,100.91830253872423,42.1982963246447
78,189,66,93,237,87,108,153,102,0,285,210,27,48,45,9,115.2,79.72552916099083,125.0,64.28841264178172,108.66666666666667,87.92926450025358,67.97517638699695,44.1449362345972
102,69,123,102,348,30,63,126,102,0,285,210,72,9,54,69,113.0,94.84091943881607,129.0,102.35233265539189,102.33333333333333,87.87996864410506,92.28030647960536,18.05394793473454
30,18,144,72,150,60,63,120,124,0,214,174,54,18,57,93,86.53333333333333,61.768240670716494,79.0,51.31276644267,91.55555555555556,67.38300331539452,80.43385800134995,13.460024695239287
51,18,57,51,159,90,99,120,81,0,99,183,30,36,63,39,75.8,49.11781754109195,71.0,44.553338819890925,79.0,51.69139193328034,54.639272513697314,15.522560973432215
69,93,138,72,195,42,90,121,81,0,63,183,72,18,51,39,85.86666666666666,52.72553671819967,101.5,51.01225342993583,75.44444444444444,51.253425058691576,59.19740112828878,19.672906628458076
