S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
79.0,82.0,65.0,81.0,57.0,47.0,85.33333333333333,64.0,46.0,0.0,87.33333333333333,85.0,93.0,90.0,78.0,57.0,69.31111111111112,44.076346562992,68.5,32.519218455588565,69.85185185185185,40.93379614104552,56.79581922470104,20.64056184886394
80.1,81.8,66.0,78.6,56.4,48.2,88.13333333333333,64.43333333333334,45.2,0.0,83.39999999999999,85.3,92.0,88.9,77.4,55.7,69.05777777777779,43.151625792570236,68.51666666666667,32.0282168009873,69.41851851851851,40.661148921911256,55.96980119011601,19.98737781244222
81.2,81.6,67.0,76.2,55.8,49.4,90.93333333333332,64.86666666666666,44.4,0.0,79.46666666666667,85.6,91.0,87.8,76.8,54.4,68.80444444444444,42.22690502214847,68.53333333333333,31.537215146386036,68.98518518518519,40.38850170277699,55.143783155530976,19.334193776020495
82.3,81.4,68.0,73.8,55.2,50.6,93.73333333333332,65.3,43.6,0.0,75.53333333333333,85.9,90.0,86.7,76.2,53.1,68.55111111111111,41.3021842517267,68.55,31.04621349178477,68.55185185185185,40.11585448364273,54.31776512094594,18.681009739598775
83.4,81.2,69.0,71.4,54.6,51.8,96.53333333333333,65.73333333333333,42.8,0.0,71.6,86.2,89.0,85.6,75.6,51.8,68.29777777777778,40.377463481304936,68.56666666666666,30.555211837183506,68.11851851851851,39.843207264508465,53.49174708636091,18.02782570317705
84.5,81.0,70.0,69.0,54.0,53.0,99.33333333333333,66.16666666666666,42.0,0.0,67.66666666666666,86.5,88.0,84.5,75.0,50.5,68.04444444444445,39.45274271088317,68.58333333333334,30.064210182582244,67.68518518518519,39.57056004537421,52.66572905177587,17.37464166675533
85.6,80.8,71.0,66.6,53.4,54.2,102.13333333333333,66.6,41.2,0.0,63.733333333333334,86.8,87.0,83.4,74.4,49.2,67.7911111111111,38.52802194046141,68.60000000000001,29.573208527980977,67.25185185185185,39.297912826239944,51.83971101719084,16.721457630333607
86.7,80.6,72.0,64.2,52.8,55.4,104.93333333333332,67.03333333333333,40.4,0.0,59.8,87.1,86.0,82.3,73.8,47.9,67.53777777777778,37.60330117003964,68.61666666666667,29.08220687337971,66.81851851851852,39.02526560710568,51.013692982605804,16.068273593911886
87.8,80.4,73.0,61.8,52.2,56.6,107.73333333333332,67.46666666666667,39.6,0.0,55.86666666666667,87.4,85.0,81.2,73.2,46.6,67.28444444444445,36.67858039961787,68.63333333333334,28.59120521877845,66.38518518518518,38.75261838797142,50.18767494802077,15.415089557490164
88.9,80.2,74.0,59.400000000000006,51.6,57.8,110.53333333333333,67.89999999999999,38.8,0.0,51.93333333333334,87.7,84.0,80.1,72.6,45.3,67.0311111111111,35.75385962919611,68.65,28.100203564177185,65.95185185185186,38.47997116883715,49.36165691343574,14.761905521068442
