S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
13.0,10.0,13.0,10.0,22.0,48.0,42.0,16.0,3.0,16.0,15.0,50.0,17.0,33.0,6.0,13.0,20.933333333333334,24.77917251771416,19.333333333333332,20.377637529240868,22.0,25.278513433979967,19.5708352836825,4.984012103174471
14.3,9.0,12.3,10.6,20.7,47.3,39.3,15.766666666666666,3.0,15.1,15.0,50.0,20.8,31.3,5.7,14.0,20.677777777777777,24.46872091697807,19.03333333333333,20.01702289379943,21.774074074074075,25.05142403849375,19.715499564918616,5.032104588478423
15.6,8.0,11.6,11.2,19.4,46.6,36.6,15.533333333333333,3.0,14.2,15.0,50.0,24.6,29.6,5.4,15.0,20.42222222222222,24.158269316241988,18.73333333333333,19.656408258357995,21.548148148148147,24.824334643007532,19.860163846154737,5.080197073782375
16.9,7.0,10.9,11.8,18.1,45.9,33.9,15.3,3.0,13.3,15.0,50.0,28.4,27.9,5.1,16.0,20.166666666666668,23.8478177155059,18.433333333333334,19.295793622916555,21.322222222222223,24.597245247521315,20.00482812739086,5.128289559086328
18.2,6.0,10.2,12.4,16.8,45.2,31.2,15.066666666666666,3.0,12.4,15.0,50.0,32.2,26.2,4.8,17.0,19.91111111111111,23.537366114769814,18.133333333333333,18.93517898747512,21.0962962962963,24.370155852035097,20.149492408626976,5.17638204439028
19.5,5.0,9.5,13.0,15.5,44.5,28.5,14.833333333333332,3.0,11.5,15.0,50.0,36.0,24.5,4.5,18.0,19.655555555555555,23.22691451403373,17.833333333333332,18.574564352033683,20.870370370370374,24.14306645654888,20.294156689863094,5.224474529694232
20.8,4.0,8.8,13.6,14.2,43.8,25.799999999999997,14.6,3.0,10.6,15.0,50.0,39.8,22.8,4.2,19.0,19.4,22.916462913297643,17.53333333333333,18.213949716592246,20.644444444444446,23.91597706106266,20.438820971099215,5.2725670149981845
22.1,3.0,8.100000000000001,14.2,12.9,43.1,23.099999999999998,14.366666666666667,3.0,9.7,15.0,50.0,43.599999999999994,21.1,3.9,20.0,19.144444444444442,22.606011312561556,17.23333333333333,17.85333508115081,20.41851851851852,23.68888766557644,20.583485252335336,5.320659500302137
23.4,2.0,7.4,14.8,11.6,42.4,20.4,14.133333333333333,3.0,8.8,15.0,50.0,47.4,19.4,3.6,21.0,18.88888888888889,22.29555971182547,16.933333333333334,17.49272044570937,20.192592592592597,23.461798270090224,20.728149533571454,5.36875198560609
24.700000000000003,1.0,6.7,15.399999999999999,10.299999999999999,41.7,17.7,13.899999999999999,3.0,7.9,15.0,50.0,51.199999999999996,17.700000000000003,3.3000000000000003,22.0,18.633333333333333,21.985108111089385,16.633333333333333,17.132105810267934,19.96666666666667,23.234708874604006,20.87281381480757,5.416844470910042
