Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2021-04-20 16:25:37,159,53,13,9,0,0
2021-04-20 16:25:47,39,10,0,0,0,0
2021-04-20 16:25:57,60,13,0,0,0,0
2021-04-20 16:26:07,42,10,0,0,0,0
2021-04-20 16:26:22,9,3,0,0,0,0
2021-04-20 16:26:32,39,13,0,0,0,0
2021-04-20 16:26:42,57,19,0,0,0,0
2021-04-20 16:26:52,39,13,0,0,0,0
2021-04-20 16:27:02,51,13,0,0,0,0
2021-04-20 16:27:12,42,10,0,0,0,0
2021-04-20 16:27:22,21,7,0,0,0,0
2021-04-20 16:27:32,9,3,0,0,0,0
2021-04-20 16:27:42,30,10,0,0,0,0
2021-04-20 16:27:52,39,13,0,0,0,0
2021-04-20 16:28:02,27,9,0,0,0,0
2021-04-20 16:28:12,45,12,0,0,0,0
2021-04-20 16:28:22,78,12,0,0,0,0
2021-04-20 16:28:32,48,6,0,0,0,0
2021-04-20 16:28:42,63,21,3,0,0,0
2021-04-20 16:28:52,102,30,0,0,0,0
2021-04-20 16:29:02,69,23,0,0,0,0
2021-04-20 16:29:12,90,26,3,0,0,0
2021-04-20 16:29:22,51,13,3,0,0,0
2021-04-20 16:29:32,9,3,0,0,0,0
2021-04-20 16:29:42,18,6,0,0,0,0
2021-04-20 16:29:52,18,6,0,0,0,0
2021-04-20 16:30:02,27,9,0,0,0,0
2021-04-20 16:30:12,27,9,0,0,0,0
2021-04-20 16:30:22,57,19,0,0,0,0
2021-04-20 16:30:32,57,19,0,0,0,0
2021-04-20 16:30:42,27,9,0,0,0,0
2021-04-20 16:30:52,27,9,0,0,0,0
2021-04-20 16:31:02,9,3,0,0,0,0
2021-04-20 16:31:12,114,35,6,0,0,0
2021-04-20 16:31:22,111,34,6,0,0,0
2021-04-20 16:31:32,165,52,0,0,0,0
2021-04-20 16:31:42,147,49,0,0,0,0
2021-04-20 16:31:52,48,16,0,0,0,0
2021-04-20 16:32:02,87,25,0,0,0,0
2021-04-20 16:32:12,48,16,0,0,0,0
2021-04-20 16:32:22,39,9,0,0,0,0
2021-04-20 16:32:32,60,13,0,0,0,0
2021-04-20 16:32:42,81,20,0,0,0,0
2021-04-20 16:32:52,39,13,0,0,0,0
2021-04-20 16:33:02,39,10,0,0,0,0
2021-04-20 16:33:12,51,17,0,0,0,0
2021-04-20 16:33:22,48,16,0,0,0,0
2021-04-20 16:33:32,39,13,3,0,0,0
2021-04-20 16:33:42,57,16,3,0,0,0
2021-04-20 16:33:52,69,20,0,0,0,0
2021-04-20 16:34:02,48,16,0,0,0,0
2021-04-20 16:34:12,60,20,0,0,0,0
2021-04-20 16:34:22,63,21,0,0,0,0
2021-04-20 16:34:32,51,17,0,0,0,0
2021-04-20 16:34:42,72,24,0,0,0,0
2021-04-20 16:34:52,81,27,3,3,3,0
2021-04-20 16:35:02,57,19,0,0,0,0
2021-04-20 16:35:12,18,6,0,0,0,0
2021-04-20 16:35:22,9,3,0,0,0,0
2021-04-20 16:35:32,9,3,0,0,0,0
2021-04-20 16:35:42,57,16,0,0,0,0
2021-04-20 16:35:52,102,23,0,0,0,0
2021-04-20 16:36:02,51,10,0,0,0,0
2021-04-20 16:36:12,18,3,0,0,0,0
2021-04-20 16:36:22,9,3,0,0,0,0
2021-04-20 16:36:32,48,16,3,0,0,0
2021-04-20 16:36:42,102,34,3,0,0,0
2021-04-20 16:36:52,123,41,0,0,0,0
2021-04-20 16:37:02,102,30,0,0,0,0
2021-04-20 16:37:12,57,16,0,0,0,0
2021-04-20 16:37:22,78,19,0,0,0,0
2021-04-20 16:37:32,120,40,0,0,0,0
2021-04-20 16:37:42,90,30,0,0,0,0
2021-04-20 16:37:52,99,30,0,0,0,0
2021-04-20 16:38:02,69,23,0,0,0,0
2021-04-20 16:38:12,60,20,0,0,0,0
2021-04-20 16:38:22,51,17,0,0,0,0
2021-04-20 16:38:32,9,3,0,0,0,0
2021-04-20 16:38:42,21,7,0,0,0,0
2021-04-20 16:38:52,81,27,0,0,0,0
2021-04-20 16:39:02,81,27,0,0,0,0
2021-04-20 16:39:12,93,31,6,0,0,0
2021-04-20 16:39:22,81,20,6,0,0,0
2021-04-20 16:39:32,78,19,9,3,3,0
2021-04-20 16:39:42,69,19,9,3,3,0
2021-04-20 16:39:52,60,13,0,0,0,0
2021-04-20 16:40:02,69,20,0,0,0,0
2021-04-20 16:40:12,30,10,0,0,0,0
2021-04-20 16:40:22,18,3,0,0,0,0
2021-04-20 16:40:32,18,6,0,0,0,0
2021-04-20 16:40:42,99,33,0,0,0,0
2021-04-20 16:40:52,66,22,0,0,0,0
2021-04-20 16:41:02,36,12,0,0,0,0
2021-04-20 16:41:12,39,13,0,0,0,0
2021-04-20 16:41:22,123,37,0,0,0,0
2021-04-20 16:41:32,174,54,0,0,0,0
2021-04-20 16:41:42,195,57,0,0,0,0
2021-04-20 16:41:52,99,29,0,0,0,0
2021-04-20 16:42:02,27,9,0,0,0,0
2021-04-20 16:42:12,51,17,0,0,0,0
2021-04-20 16:42:22,132,40,0,0,0,0
2021-04-20 16:42:32,135,41,0,0,0,0
2021-04-20 16:42:42,132,44,0,0,0,0
2021-04-20 16:42:52,96,29,0,0,0,0
2021-04-20 16:43:02,78,26,0,0,0,0
2021-04-20 16:43:12,81,27,0,0,0,0
2021-04-20 16:43:22,57,13,0,0,0,0
2021-04-20 16:43:32,66,16,0,0,0,0
2021-04-20 16:43:42,99,33,0,0,0,0
2021-04-20 16:43:52,153,51,0,0,0,0
2021-04-20 16:44:02,141,47,0,0,0,0
2021-04-20 16:44:12,108,33,0,0,0,0
2021-04-20 16:44:22,120,40,0,0,0,0
2021-04-20 16:44:32,90,26,0,0,0,0
2021-04-20 16:44:42,48,13,0,0,0,0
2021-04-20 16:44:52,102,31,0,0,0,0
2021-04-20 16:45:02,120,40,0,0,0,0
2021-04-20 16:45:12,120,37,0,0,0,0
2021-04-20 16:45:22,204,65,0,0,0,0
2021-04-20 16:45:32,150,44,0,0,0,0
2021-04-20 16:45:42,120,31,3,0,0,0
2021-04-20 16:45:52,129,40,3,0,0,0
2021-04-20 16:46:02,117,36,3,0,0,0
2021-04-20 16:46:12,138,43,6,3,3,0
2021-04-20 16:46:22,141,43,0,0,0,0
2021-04-20 16:46:32,189,56,3,0,0,0
2021-04-20 16:46:42,156,49,3,0,0,0
2021-04-20 16:46:52,57,19,0,0,0,0
2021-04-20 16:47:02,153,44,0,0,0,0
2021-04-20 16:47:12,198,59,0,0,0,0
2021-04-20 16:47:22,123,38,3,0,0,0
2021-04-20 16:47:32,114,35,3,0,0,0
2021-04-20 16:47:42,123,38,0,0,0,0
2021-04-20 16:47:52,102,31,0,0,0,0
2021-04-20 16:48:02,60,20,0,0,0,0
2021-04-20 16:48:12,81,27,0,0,0,0
2021-04-20 16:48:22,81,27,0,0,0,0
2021-04-20 16:48:32,105,35,0,0,0,0
2021-04-20 16:48:42,87,29,0,0,0,0
2021-04-20 16:48:52,129,43,0,0,0,0
2021-04-20 16:49:02,51,17,0,0,0,0
2021-04-20 16:49:12,144,48,0,0,0,0
2021-04-20 16:49:22,120,40,0,0,0,0
2021-04-20 16:49:32,48,16,3,0,0,0
2021-04-20 16:49:42,90,30,0,0,0,0
2021-04-20 16:49:52,183,54,3,0,0,0
2021-04-20 16:50:02,105,29,3,0,0,0
2021-04-20 16:50:12,111,37,0,0,0,0
2021-04-20 16:50:22,120,40,0,0,0,0
2021-04-20 16:50:32,183,61,0,0,0,0
2021-04-20 16:50:42,144,48,0,0,0,0
2021-04-20 16:50:52,27,9,0,0,0,0
2021-04-20 16:51:02,75,25,0,0,0,0
2021-04-20 16:51:12,60,20,0,0,0,0
2021-04-20 16:51:22,144,44,3,0,0,0
2021-04-20 16:51:32,99,33,3,0,0,0
2021-04-20 16:51:42,81,27,0,0,0,0
2021-04-20 16:51:52,90,30,6,0,0,0
2021-04-20 16:52:02,111,37,3,0,0,0
2021-04-20 16:52:12,132,34,0,0,0,0
2021-04-20 16:52:22,144,48,0,0,0,0
2021-04-20 16:52:32,153,47,0,0,0,0
2021-04-20 16:52:42,90,26,3,0,0,0
2021-04-20 16:52:52,99,33,3,0,0,0
2021-04-20 16:53:02,120,40,3,0,0,0
2021-04-20 16:53:12,60,17,3,0,0,0
2021-04-20 16:53:22,51,17,0,0,0,0
2021-04-20 16:53:32,120,37,0,0,0,0
2021-04-20 16:53:42,117,39,0,0,0,0
2021-04-20 16:53:52,150,43,0,0,0,0
2021-04-20 16:54:02,240,77,0,0,0,0
2021-04-20 16:54:12,207,69,0,0,0,0
2021-04-20 16:54:22,129,40,0,0,0,0
2021-04-20 16:54:32,120,37,0,0,0,0
2021-04-20 16:54:42,39,13,0,0,0,0
2021-04-20 16:54:52,120,36,0,0,0,0
2021-04-20 16:55:02,192,60,0,0,0,0
2021-04-20 16:55:12,162,50,0,0,0,0
2021-04-20 16:55:22,111,33,0,0,0,0
2021-04-20 16:55:32,54,18,0,0,0,0
2021-04-20 16:55:42,123,41,0,0,0,0
2021-04-20 16:55:52,138,43,10,0,0,0
2021-04-20 16:56:02,126,38,0,0,0,0
2021-04-20 16:56:12,144,44,0,0,0,0
2021-04-20 16:56:22,87,26,0,0,0,0
2021-04-20 16:56:32,162,51,3,0,0,0
2021-04-20 16:56:42,144,48,3,0,0,0
2021-04-20 16:56:52,72,24,0,0,0,0
2021-04-20 16:57:02,51,17,0,0,0,0
2021-04-20 16:57:12,105,31,0,0,0,0
2021-04-20 16:57:22,111,33,0,0,0,0
2021-04-20 16:57:32,141,44,0,0,0,0
2021-04-20 16:57:42,123,38,3,0,0,0
2021-04-20 16:57:52,111,37,3,0,0,0
2021-04-20 16:58:02,57,19,0,0,0,0
2021-04-20 16:58:12,27,6,0,0,0,0
2021-04-20 16:58:22,36,9,0,0,0,0
2021-04-20 16:58:32,63,21,0,0,0,0
2021-04-20 16:58:42,114,38,6,0,0,0
2021-04-20 16:58:52,99,33,6,0,0,0
2021-04-20 16:59:02,78,19,0,0,0,0
2021-04-20 16:59:12,48,9,0,0,0,0
2021-04-20 16:59:22,48,16,0,0,0,0
2021-04-20 16:59:32,81,27,0,0,0,0
2021-04-20 16:59:42,48,16,0,0,0,0
2021-04-20 16:59:52,54,15,0,0,0,0
2021-04-20 17:00:02,78,26,0,0,0,0
2021-04-20 17:00:12,102,30,0,0,0,0
2021-04-20 17:00:22,72,20,0,0,0,0
2021-04-20 17:00:32,123,38,0,0,0,0
2021-04-20 17:00:42,111,34,0,0,0,0
2021-04-20 17:00:52,132,44,0,0,0,0
2021-04-20 17:01:02,120,40,0,0,0,0
2021-04-20 17:01:12,123,37,0,0,0,0
2021-04-20 17:01:22,78,22,0,0,0,0
2021-04-20 17:01:32,204,68,0,0,0,0
2021-04-20 17:01:42,144,48,3,0,0,0
2021-04-20 17:01:52,123,41,3,0,0,0
2021-04-20 17:02:02,108,33,0,0,0,0
2021-04-20 17:02:12,120,37,0,0,0,0
2021-04-20 17:02:22,93,27,0,0,0,0
2021-04-20 17:02:32,63,17,0,0,0,0
2021-04-20 17:02:42,135,45,3,0,0,0
2021-04-20 17:02:52,144,48,3,0,0,0
2021-04-20 17:03:02,111,37,0,0,0,0
2021-04-20 17:03:12,99,33,0,0,0,0
2021-04-20 17:03:22,60,20,0,0,0,0
2021-04-20 17:03:32,57,19,0,0,0,0
2021-04-20 17:03:42,45,12,0,0,0,0
2021-04-20 17:03:52,48,13,0,0,0,0
2021-04-20 17:04:02,60,20,0,0,0,0
2021-04-20 17:04:12,51,17,0,0,0,0
2021-04-20 17:04:22,90,30,0,0,0,0
2021-04-20 17:04:32,195,65,0,0,0,0
2021-04-20 17:04:42,186,62,0,0,0,0
2021-04-20 17:04:52,87,29,3,0,0,0
2021-04-20 17:05:02,66,22,3,3,3,0
2021-04-20 17:05:12,78,26,3,3,3,0
2021-04-20 17:05:22,72,24,0,0,0,0
2021-04-20 17:05:32,48,16,0,0,0,0
2021-04-20 17:05:42,132,44,0,0,0,0
2021-04-20 17:05:52,48,16,0,0,0,0
2021-04-20 17:06:02,111,37,0,0,0,0
2021-04-20 17:06:12,90,30,0,0,0,0
2021-04-20 17:06:22,39,13,0,0,0,0
2021-04-20 17:06:32,39,13,0,0,0,0
