S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
69.0,51.0,27.0,30.0,18.0,69.0,117.0,60.0,0.0,48.0,63.0,18.0,108.0,102.0,105.0,135.0,59.0,35.4400902933387,44.0,20.248456731316587,69.0,39.6232255123179,76.48003009777956,42.48299655441847
67.2,47.7,27.9,33.9,21.6,160.8,117.0,60.0,0.0,48.0,60.7,20.7,101.4,98.1,102.9,135.9,64.52666666666667,55.36550723814309,59.85,53.343156898073005,67.64444444444445,38.70506353179307,85.26405796826991,43.35679770874836
65.4,44.4,28.8,37.8,25.2,252.6,117.0,60.0,0.0,48.0,58.4,23.4,94.8,94.2,100.8,136.8,70.05333333333333,75.29092418294748,75.7,86.43785706482942,66.28888888888889,37.78690155126824,94.04808583876027,44.23059886307825
63.6,41.1,29.7,41.7,28.8,344.4,117.0,60.0,0.0,48.0,56.1,26.1,88.2,90.3,98.7,137.7,75.58,95.21634112775186,91.55,119.53255723158586,64.93333333333334,36.86873957074341,102.83211370925062,45.10440001740814
61.8,37.8,30.6,45.6,32.4,436.2,117.0,60.0,0.0,48.0,53.8,28.8,81.6,86.4,96.6,138.6,81.10666666666667,115.14175807255626,107.4,152.62725739834227,63.577777777777776,35.95057759021857,111.61614157974097,45.97820117173803
60.0,34.5,31.5,49.5,36.0,528.0,117.0,60.0,0.0,48.0,51.5,31.5,75.0,82.5,94.5,139.5,86.63333333333333,135.06717501736065,123.25,185.72195756509868,62.22222222222222,35.03241560969374,120.40016945023132,46.85200232606792
58.2,31.200000000000003,32.4,53.4,39.6,619.8,117.0,60.0,0.0,48.0,49.2,34.2,68.4,78.6,92.4,140.4,92.16,154.99259196216502,139.1,218.81665773185512,60.86666666666667,34.114253629168914,129.18419732072167,47.72580348039781
56.4,27.900000000000002,33.3,57.3,43.2,711.6,117.0,60.0,0.0,48.0,46.900000000000006,36.900000000000006,61.800000000000004,74.7,90.3,141.3,97.68666666666667,174.91800890696942,154.95,251.91135789861153,59.51111111111111,33.19609164864408,137.968225191212,48.5996046347277
54.6,24.6,34.2,61.2,46.8,803.4,117.0,60.0,0.0,48.0,44.6,39.6,55.2,70.8,88.2,142.2,103.21333333333334,194.84342585177382,170.8,285.00605806536794,58.15555555555555,32.27792966811925,146.7522530617024,49.47340578905759
52.8,21.3,35.1,65.1,50.4,895.1999999999999,117.0,60.0,0.0,48.0,42.3,42.3,48.6,66.9,86.1,143.1,108.74,214.7688427965782,186.65,318.10075823212435,56.8,31.359767687594413,155.5362809321927,50.34720694338748
51.0,18.0,36.0,69.0,54.0,987.0,117.0,60.0,0.0,48.0,40.0,45.0,42.0,63.0,84.0,144.0,114.26666666666667,234.6942597413826,202.5,351.19545839888076,55.44444444444444,30.441605707069584,164.3203088026831,51.221008097717366
47.7,18.9,33.3,65.7,53.1,1358.1,113.8,57.9,1.5,48.0,37.8,45.9,38.7,63.6,82.5,140.7,137.76666666666665,327.47160844173686,262.8,490.15768213869336,54.41111111111111,29.936668309104174,201.9794250361345,91.11312014874648
44.4,19.8,30.6,62.4,52.2,1729.2,110.6,55.8,3.0,48.0,35.6,46.8,35.4,64.2,81.0,137.4,161.26666666666665,420.24895714209106,323.1,629.119905878506,53.37777777777778,29.431730911138764,239.63854126958591,131.0052321997756
41.1,20.7,27.9,59.1,51.3,2100.3,107.4,53.7,4.5,48.0,33.4,47.7,32.1,64.8,79.5,134.1,184.76666666666665,513.0263058424453,383.4,768.0821296183185,52.34444444444444,28.926793513173354,277.29765750303727,170.8973442508047
37.8,21.6,25.2,55.8,50.4,2471.4,104.2,51.6,6.0,48.0,31.2,48.6,28.8,65.4,78.0,130.8,208.26666666666665,605.8036545427994,443.7,907.0443533581312,51.31111111111111,28.421856115207945,314.9567737364887,210.78945630183384
34.5,22.5,22.5,52.5,49.5,2842.5,101.0,49.5,7.5,48.0,29.0,49.5,25.5,66.0,76.5,127.5,231.76666666666665,698.5810032431536,504.0,1046.0065770979436,50.27777777777778,27.91691871724253,352.6158899699401,250.68156835286297
31.200000000000003,23.4,19.799999999999997,49.2,48.6,3213.6000000000004,97.8,47.4,9.0,48.0,26.799999999999997,50.4,22.200000000000003,66.6,75.0,124.2,255.26666666666665,791.3583519435081,564.3,1184.9688008377564,49.24444444444445,27.411981319277125,390.2750062033915,290.57368040389207
27.900000000000002,24.3,17.099999999999998,45.900000000000006,47.7,3584.7000000000003,94.6,45.3,10.5,48.0,24.599999999999998,51.3,18.900000000000002,67.2,73.5,120.9,278.76666666666665,884.1357006438623,624.5999999999999,1323.9310245775691,48.211111111111116,26.90704392131171,427.9341224368429,330.46579245492114
24.6,25.2,14.399999999999999,42.6,46.8,3955.8,91.4,43.2,12.0,48.0,22.4,52.2,15.600000000000001,67.8,72.0,117.6,302.26666666666665,976.9130493442165,684.9,1462.8932483173817,47.17777777777778,26.4021065233463,465.59323867029434,370.3579045059503
