S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
111.0,78.0,75.0,9.0,0.0,30.0,81.0,48.0,45.0,0.0,82.0,99.0,36.0,99.0,30.0,96.0,54.86666666666667,35.84013888861978,50.5,40.22747817102136,57.77777777777778,32.26204435823681,62.23560185176215,25.10681350492655
106.8,76.8,78.0,13.2,0.0,35.4,81.4,48.0,42.6,0.0,77.4,99.9,39.6,93.3,31.2,89.1,54.906666666666666,35.48360423628624,51.7,39.46087838495221,57.044444444444444,32.1521451104028,59.8300903009843,23.823348590489204
102.6,75.6,81.0,17.4,0.0,40.8,81.8,48.0,40.2,0.0,72.8,100.8,43.2,87.6,32.4,82.2,54.946666666666665,35.12706958395271,52.9,38.69427859888306,56.31111111111111,32.04224586256879,57.42457875020646,22.53988367605186
98.4,74.4,84.0,21.6,0.0,46.2,82.2,48.0,37.8,0.0,68.2,101.7,46.8,81.9,33.6,75.3,54.986666666666665,34.770534931619174,54.1,37.927678812813916,55.577777777777776,31.932346614734787,55.01906719942861,21.256418761614515
94.2,73.2,87.0,25.8,0.0,51.6,82.6,48.0,35.4,0.0,63.6,102.6,50.4,76.2,34.8,68.4,55.026666666666664,34.41400027928564,55.3,37.161079026744765,54.84444444444444,31.822447366900782,52.61355564865077,19.972953847177173
90.0,72.0,90.0,30.0,0.0,57.0,83.0,48.0,33.0,0.0,59.0,103.5,54.0,70.5,36.0,61.5,55.06666666666666,34.05746562695211,56.5,36.394479240675615,54.111111111111114,31.712548119066774,50.20804409787292,18.689488932739827
85.8,70.8,93.0,34.2,0.0,62.400000000000006,83.4,48.0,30.6,0.0,54.400000000000006,104.4,57.6,64.8,37.2,54.599999999999994,55.10666666666667,33.70093097461857,57.7,35.627879454606465,53.37777777777778,31.602648871232766,47.802532547095076,17.40602401830248
81.6,69.6,96.0,38.400000000000006,0.0,67.80000000000001,83.8,48.0,28.2,0.0,49.800000000000004,105.3,61.2,59.1,38.4,47.699999999999996,55.14666666666667,33.344396322285036,58.9,34.861279668537314,52.644444444444446,31.492749623398762,45.39702099631723,16.122559103865136
77.4,68.4,99.0,42.6,0.0,73.2,84.2,48.0,25.8,0.0,45.2,106.2,64.8,53.4,39.6,40.8,55.18666666666667,32.9878616699515,60.1,34.09467988246817,51.91111111111111,31.382850375564754,42.991509445539386,14.839094189427794
73.19999999999999,67.2,102.0,46.800000000000004,0.0,78.6,84.6,48.0,23.400000000000002,0.0,40.6,107.1,68.4,47.699999999999996,40.8,33.9,55.22666666666667,32.63132701761797,61.3,33.32808009639902,51.17777777777778,31.27295112773075,40.58599789476154,13.55562927499045
69.0,66.0,105.0,51.0,0.0,84.0,85.0,48.0,21.0,0.0,36.0,108.0,72.0,42.0,42.0,27.0,55.266666666666666,32.27479236528443,62.5,32.56148031032987,50.44444444444444,31.16305187989674,38.180486343983695,12.272164360553104
71.4,69.6,108.9,52.8,0.0,586.8,82.8,54.4,21.0,0.0,36.9,108.0,73.2,39.9,40.8,30.0,89.76666666666667,155.044490169443,148.25,216.82730432524139,50.77777777777778,31.849020215815795,91.60371894536988,61.64211462423875
73.8,73.2,112.8,54.6,0.0,1089.6,80.6,60.8,21.0,0.0,37.8,108.0,74.4,37.8,39.6,33.0,124.26666666666667,277.8141879736016,234.0,401.09312834015293,51.11111111111111,32.53498855173485,145.02695154675607,111.0120648879244
76.2,76.8,116.7,56.4,0.0,1592.4,78.4,67.2,21.0,0.0,38.7,108.0,75.6,35.7,38.4,36.0,158.76666666666665,400.58388577776014,319.75,585.3589523550645,51.44444444444444,33.2209568876539,198.45018414814226,160.38201515161003
78.6,80.4,120.6,58.2,0.0,2095.2,76.2,73.6,21.0,0.0,39.6,108.0,76.8,33.6,37.2,39.0,193.26666666666665,523.3535835819187,405.5,769.624776369976,51.77777777777778,33.90692522357295,251.87341674952845,209.75196541529567
81.0,84.0,124.5,60.0,0.0,2598.0,74.0,80.0,21.0,0.0,40.5,108.0,78.0,31.5,36.0,42.0,227.76666666666665,646.1232813860772,491.25,953.8906003848874,52.111111111111114,34.592893559492,305.29664935091466,259.12191567898134
83.4,87.6,128.4,61.8,0.0,3100.8,71.8,86.4,21.0,0.0,41.4,108.0,79.2,29.4,34.8,45.0,262.26666666666665,768.8929791902358,577.0,1138.156424399799,52.44444444444444,35.278861895411055,358.71988195230085,308.491865942667
85.8,91.2,132.3,63.6,0.0,3603.6,69.6,92.80000000000001,21.0,0.0,42.3,108.0,80.4,27.299999999999997,33.6,48.0,296.76666666666665,891.6626769943944,662.75,1322.4222484147106,52.77777777777778,35.964830231330104,412.14311455368704,357.8618162063526
88.2,94.8,136.2,65.4,0.0,4106.4,67.4,99.2,21.0,0.0,43.2,108.0,81.6,25.2,32.4,51.0,331.26666666666665,1014.4323747985529,748.5,1506.688072429622,53.111111111111114,36.650798567249154,465.56634715507323,407.2317664700383
