S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
21.0,21.0,9.0,30.0,48.0,144.0,63.0,18.0,9.0,9.0,45.0,132.0,9.0,9.0,18.0,30.0,39.0,42.014283285568496,45.5,45.609757727924844,34.666666666666664,38.83583682917393,37.0047610951895,5.103690457693315
25.8,18.9,8.1,30.9,44.1,141.0,57.6,18.4,9.0,8.1,45.0,132.0,17.7,12.0,16.2,33.0,38.986666666666665,42.09706887427685,44.8,45.22520386868467,35.11111111111111,39.30667476735859,38.027911846981176,5.510330043650148
30.6,16.8,7.2,31.8,40.2,138.0,52.2,18.8,9.0,7.2,45.0,132.0,26.4,15.0,14.4,36.0,38.973333333333336,42.17985446298521,44.1,44.84065000944451,35.55555555555556,39.77751270554324,39.05106259877285,5.916969629606982
35.4,14.7,6.3,32.7,36.3,135.0,46.8,19.2,9.0,6.3,45.0,132.0,35.099999999999994,18.0,12.6,39.0,38.96,42.262640051693566,43.4,44.456096150204345,36.0,40.24835064372789,40.07421335056453,6.323609215563815
40.2,12.6,5.4,33.6,32.4,132.0,41.4,19.6,9.0,5.4,45.0,132.0,43.8,21.0,10.8,42.0,38.946666666666665,42.34542564040193,42.7,44.071542290964175,36.44444444444444,40.71918858191255,41.0973641023562,6.730248801520649
45.0,10.5,4.5,34.5,28.5,129.0,36.0,20.0,9.0,4.5,45.0,132.0,52.5,24.0,9.0,45.0,38.93333333333334,42.42821122911028,42.0,43.686988431724004,36.888888888888886,41.190026520097206,42.12051485414788,7.136888387477483
49.8,8.399999999999999,3.5999999999999996,35.4,24.6,126.0,30.599999999999994,20.4,9.0,3.5999999999999996,45.0,132.0,61.199999999999996,27.0,7.199999999999999,48.0,38.92,42.510996817818636,41.3,43.30243457248384,37.333333333333336,41.66086445828186,43.14366560593955,7.543527973434316
54.6,6.299999999999999,2.7,36.3,20.7,123.0,25.199999999999996,20.8,9.0,2.7,45.0,132.0,69.89999999999999,30.0,5.4,51.0,38.906666666666666,42.593782406527,40.6,42.917880713243676,37.77777777777778,42.13170239646651,44.16681635773123,7.950167559391151
59.4,4.199999999999999,1.7999999999999998,37.2,16.8,120.0,19.799999999999997,21.2,9.0,1.7999999999999998,45.0,132.0,78.6,33.0,3.5999999999999996,54.0,38.89333333333333,42.67656799523535,39.9,42.533326854003505,38.22222222222222,42.60254033465117,45.189967109522904,8.356807145347984
64.19999999999999,2.099999999999998,0.9000000000000004,38.1,12.899999999999999,117.0,14.399999999999999,21.6,9.0,0.9000000000000004,45.0,132.0,87.3,36.0,1.8000000000000007,57.0,38.88,42.759353583943714,39.2,42.148772994763334,38.66666666666667,43.073378272835825,46.21311786131458,8.763446731304818
69.0,0.0,0.0,39.0,9.0,114.0,9.0,22.0,9.0,0.0,45.0,132.0,96.0,39.0,0.0,60.0,38.86666666666667,42.84213917265207,38.5,41.76421913552317,39.111111111111114,43.544216211020476,47.236268613106255,9.170086317261651
63.9,1.8,2.7,36.9,11.1,106.8,9.0,21.6,9.0,0.0,45.0,126.3,96.0,38.1,3.3,60.0,38.1,41.0215810755046,37.2,38.4667170135332,38.7,42.22953142063256,46.37386035850154,9.788978356551699
58.8,3.6,5.4,34.8,13.2,99.6,9.0,21.2,9.0,0.0,45.0,120.6,96.0,37.2,6.6,60.0,37.333333333333336,39.20102297835713,35.9,35.169214891543234,38.28888888888889,40.91484663024465,45.51145210389683,10.407870395841746
